"Big","SpanFromLeft","SpanFromLeft","Small","SpanFromLeft","SpanFromLeft"
"Factor","Name","Symbol","Factor","Name","Symbol"
1000,"kilo","k","1/1000","milli","m"
1000000,"mega","M","1/1000000","micro","Î¼"
1000000000,"giga","G","1/1000000000","nano","n"
1000000000000,"tera","T","1/1000000000000","pico","p"
1000000000000000,"peta","P","1/1000000000000000","femto","f"
1000000000000000000,"exa","E","1/1000000000000000000","atto","a"
1000000000000000000000,"zetta","Z","1/1000000000000000000000","zepto","z"
1000000000000000000000000,"yotta","Y","1/1000000000000000000000000","yocto","y"
1000000000000000000000000000,"ronna","R","1/1000000000000000000000000000","ronto","r"
1000000000000000000000000000000,"quetta","Q","1/1000000000000000000000000000000","quecto","q"
